PairID,Yr,HatchDate
Bonden-4-2019-2,2019,2019-06-15
Bonden-4-2019-3,2019,2019-06-18
Bonden-4-2019-4,2019,NA
Bonden-5-2019-1,2019,2019-06-18
Bonden-5-2019-2,2019,2019-06-20
Bonden-5-2019-3,2019,2019-06-20
Bonden-5-2019-4,2019,2019-06-27
Bonden-5-2019-5,2019,2019-06-28
Bonden-6-2019-1,2019,2019-06-17
Bonden-6-2019-2,2019,2019-06-29
Rost-2-2019-1,2019,2019-06-12
Rost-2-2019-2,2019,2019-06-13
Rost-2-2019-3,2019,2019-06-15
Rost-2-2019-4,2019,2019-06-16
Rost-2-2019-5,2019,NA
Rost-3-2019-1,2019,2019-06-12
Rost-3-2019-2,2019,2019-06-13
Rost-3-2019-3,2019,2019-06-15
Rost-3-2019-4,2019,2019-06-22
Rost-3-2019-5,2019,2019-06-26
Rost-4-2019-1,2019,NA
Rost-5-2019-1,2019,2019-06-09
Rost-5-2019-2,2019,2019-06-15
Rost-5-2019-3,2019,2019-06-20
Rost-6-2019-1,2019,2019-06-25
Triangle-3-2019-1,2019,NA
Farallon-3-2019-3,2019,NA
Bonden-4-2019-4,2019,2019-07-13
Bonden-1-2020-1,2020,2020-06-14
Bonden-2-2020-1,2020,2020-06-20
Bonden-3-2020-1,2020,2020-06-22
Bonden-4-2020-1,2020,2020-06-20
Bonden-4-2020-2,2020,NA
Bonden-4-2020-3,2020,2020-06-24
Bonden-4-2020-4,2020,NA
Bonden-5-2020-1,2020,2020-06-21
Bonden-5-2020-2,2020,2020-06-20
Bonden-5-2020-3,2020,2020-06-22
Bonden-5-2020-4,2020,NA
Bonden-6-2020-1,2020,2020-06-22
Bonden-6-2020-2,2020,2020-06-21
Bonden-6-2020-3,2020,2020-06-30
Bonden-6-2020-4,2020,NA
Farallon-1-2020-1,2020,2020-06-19
Farallon-1-2020-2,2020,2020-06-21
Farallon-1-2020-3,2020,2020-06-20
Farallon-1-2020-4,2020,2020-06-29
Farallon-2-2020-1,2020,2020-06-24
Farallon-2-2020-2,2020,2020-06-28
Farallon-3-2020-1,2020,2020-06-20
Farallon-3-2020-2,2020,2020-06-20
Farallon-3-2020-3,2020,2020-06-23
Farallon-3-2020-4,2020,2020-06-26
Farallon-3-2020-5,2020,2020-06-26
Farallon-3-2020-6,2020,NA
Farallon-3-2020-7,2020,NA
Farallon-4-2020-1,2020,2020-06-22
Farallon-4-2020-2,2020,NA
Farallon-4-2020-3,2020,2020-07-03
Farallon-4-2020-4,2020,NA
Farallon-5-2020-1,2020,NA
Farallon-5-2020-2,2020,NA
Farallon-5-2020-3,2020,NA
Farallon-6-2020-1,2020,2020-06-28
Rost-2-2020-1,2020,2020-06-18
Rost-2-2020-2,2020,2020-06-25
Rost-2-2020-3,2020,2020-06-23
Rost-2-2020-4,2020,NA
Rost-3-2020-1,2020,2020-06-19
Rost-3-2020-2,2020,NA
Rost-3-2020-3,2020,2020-06-18
Rost-3-2020-4,2020,2020-06-22
Rost-3-2020-5,2020,2020-06-22
Rost-3-2020-6,2020,NA
Rost-5-2020-1,2020,NA
Rost-5-2020-2,2020,2020-06-25
Rost-5-2020-4,2020,2020-07-11
Rost-6-2020-1,2020,2020-06-27
Rost-6-2020-2,2020,NA
Triangle-1-2020-1,2020,NA
Triangle-1-2020-2,2020,NA
Triangle-1-2020-3,2020,NA
Triangle-1-2020-4,2020,2020-07-08
Triangle-1-2020-5,2020,NA
Triangle-2-2020-1,2020,NA
Triangle-2-2020-2,2020,2020-06-22
Triangle-2-2020-3,2020,2020-06-24
Triangle-2-2020-4,2020,2020-06-28
Triangle-2-2020-5,2020,NA
Triangle-2-2020-6,2020,2020-07-13
Triangle-3-2020-1,2020,2020-06-21
Triangle-3-2020-2,2020,NA
Triangle-3-2020-3,2020,NA
Triangle-4-2020-1,2020,NA
Triangle-5-2020-1,2020,2020-06-27
Bonden-4-2020-2,2020,NA
Rost-5-2020-1,2020,2020-06-30
Triangle-1-2020-1,2020,2020-07-07
Triangle-1-2020-2,2020,NA
Triangle-2-2020-1,2020,2020-07-04
Triangle-2-2020-5,2020,NA
Triangle-4-2020-1,2020,NA
