filename	start_time	end_time
Video2019/FARALLON3/FARALLON3_20190501_233725_first.jpg	2019-05-01 23:37:00	2019-05-02 00:00:00
Video2019/FARALLON3/FARALLON3_20190502_000002_first.jpg	2019-05-02 00:00:00	2019-05-02 00:30:00
Video2019/FARALLON3/FARALLON3_20190502_003002_first.jpg	2019-05-02 00:30:00	2019-05-02 01:00:00
Video2019/FARALLON3/FARALLON3_20190502_010002_first.jpg	2019-05-02 01:00:00	2019-05-02 01:30:00
Video2019/FARALLON3/FARALLON3_20190502_013002_first.jpg	2019-05-02 01:30:00	2019-05-02 02:00:00
Video2019/FARALLON3/FARALLON3_20190502_020002_first.jpg	2019-05-02 02:00:00	2019-05-02 02:11:00
Video2019/FARALLON3/FARALLON3_20190502_021135_first.jpg	2019-05-02 02:11:00	2019-05-02 02:41:00
Video2019/FARALLON3/FARALLON3_20190502_024135_first.jpg	2019-05-02 02:41:00	2019-05-02 03:11:00
Video2019/FARALLON3/FARALLON3_20190502_031135_first.jpg	2019-05-02 03:11:00	2019-05-02 03:41:00
Video2019/FARALLON3/FARALLON3_20190502_034135_first.jpg	2019-05-02 03:41:00	2019-05-02 04:11:00
Video2019/FARALLON3/FARALLON3_20190502_041135_first.jpg	2019-05-02 04:11:00	2019-05-02 04:23:00
Video2019/FARALLON3/FARALLON3_20190502_042306_first.jpg	2019-05-02 04:23:00	2019-05-02 04:53:00
Video2019/FARALLON3/FARALLON3_20190502_045306_first.jpg	2019-05-02 04:53:00	2019-05-02 05:23:00
Video2019/FARALLON3/FARALLON3_20190502_052306_first.jpg	2019-05-02 05:23:00	2019-05-02 05:53:00
Video2019/FARALLON3/FARALLON3_20190502_055306_first.jpg	2019-05-02 05:53:00	2019-05-02 06:23:00
Video2019/FARALLON3/FARALLON3_20190502_062306_first.jpg	2019-05-02 06:23:00	2019-05-02 06:34:00
Video2019/FARALLON3/FARALLON3_20190502_063438_first.jpg	2019-05-02 06:34:00	2019-05-02 07:04:00
Video2019/FARALLON3/FARALLON3_20190502_070438_first.jpg	2019-05-02 07:04:00	2019-05-02 07:34:00
Video2019/FARALLON3/FARALLON3_20190502_073438_first.jpg	2019-05-02 07:34:00	2019-05-02 08:04:00
Video2019/FARALLON3/FARALLON3_20190502_080438_first.jpg	2019-05-02 08:04:00	2019-05-02 08:34:00
Video2019/FARALLON3/FARALLON3_20190502_083438_first.jpg	2019-05-02 08:34:00	2019-05-02 08:46:00
Video2019/FARALLON3/FARALLON3_20190502_084609_first.jpg	2019-05-02 08:46:00	2019-05-02 09:16:00
Video2019/FARALLON3/FARALLON3_20190502_091609_first.jpg	2019-05-02 09:16:00	2019-05-02 09:46:00
Video2019/FARALLON3/FARALLON3_20190502_094609_first.jpg	2019-05-02 09:46:00	2019-05-02 10:16:00
Video2019/FARALLON3/FARALLON3_20190502_101609_first.jpg	2019-05-02 10:16:00	2019-05-02 10:46:00
Video2019/FARALLON3/FARALLON3_20190502_104609_first.jpg	2019-05-02 10:46:00	2019-05-02 10:57:00
Video2019/FARALLON3/FARALLON3_20190502_105735_first.jpg	2019-05-02 10:57:00	2019-05-02 11:27:00
Video2019/FARALLON3/FARALLON3_20190502_112735_first.jpg	2019-05-02 11:27:00	2019-05-02 11:57:00
Video2019/FARALLON3/FARALLON3_20190502_115735_first.jpg	2019-05-02 11:57:00	2019-05-02 12:27:00
Video2019/FARALLON3/FARALLON3_20190502_122735_first.jpg	2019-05-02 12:27:00	2019-05-02 12:57:00
Video2019/FARALLON3/FARALLON3_20190502_125735_first.jpg	2019-05-02 12:57:00	2019-05-02 13:03:00
Video2019/FARALLON3/FARALLON3_20190502_130857_first.jpg	2019-05-02 13:08:00	2019-05-02 13:44:47
Video2019/FARALLON3/FARALLON3_20190502_134448_first.jpg	2019-05-02 13:44:00	2019-05-02 14:14:00
Video2019/FARALLON3/FARALLON3_20190502_141448_first.jpg	2019-05-02 14:14:00	2019-05-02 14:44:00
Video2019/FARALLON3/FARALLON3_20190502_144448_first.jpg	2019-05-02 14:44:00	2019-05-02 15:14:00
Video2019/FARALLON3/FARALLON3_20190502_151448_first.jpg	2019-05-02 15:14:00	2019-05-02 15:44:00
Video2019/FARALLON3/FARALLON3_20190502_154448_first.jpg	2019-05-02 15:44:00	2019-05-02 15:56:00
Video2019/FARALLON3/FARALLON3_20190502_155615_first.jpg	2019-05-02 15:56:00	2019-05-02 16:09:00
Video2019/FARALLON3/FARALLON3_20190502_161219_first.jpg	2019-05-02 16:12:00	2019-05-02 16:42:00
Video2019/FARALLON3/FARALLON3_20190502_164219_first.jpg	2019-05-02 16:42:00	2019-05-02 17:12:00
Video2019/FARALLON3/FARALLON3_20190502_171219_first.jpg	2019-05-02 17:12:00	2019-05-02 17:42:00
Video2019/FARALLON3/FARALLON3_20190502_174219_first.jpg	2019-05-02 17:42:00	2019-05-02 18:12:00
Video2019/FARALLON3/FARALLON3_20190502_181219_first.jpg	2019-05-02 18:12:00	2019-05-02 18:23:00
Video2019/FARALLON3/FARALLON3_20190502_182350_first.jpg	2019-05-02 18:23:00	2019-05-02 18:53:00
